Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_description,ano,mes,dia,hora,dia da semana
0.029,0.0,0.484,2,19.92,19.85,17.01,20.66,1022,72,3.33,71,0,2021,10,4,14,0
0.084,0.0,0.424,2,18.06,18.01,17.57,20.66,1022,80,3.06,57,0,2021,10,4,15,0
0.052,0.0,0.403,2,17.98,17.84,17.57,19.0,1022,77,3.39,41,6,2021,10,4,16,0
0.25,0.0,0.237,2,18.43,18.21,17.01,18.48,1022,72,3.12,69,0,2021,10,4,17,0
0.364,0.0,0.039,0,16.81,16.64,16.12,16.82,1022,80,2.29,93,5,2021,10,4,18,0
0.638,0.0,0.0,0,16.29,16.14,15.9,16.78,1022,83,2.09,100,3,2021,10,4,19,0
0.664,0.0,0.0,0,15.79,15.64,15.34,16.78,1022,85,2.21,99,5,2021,10,4,20,0
0.699,0.0,0.0,0,15.78,15.69,14.79,16.77,1023,87,2.61,100,5,2021,10,4,21,0
0.734,0.0,0.0,0,15.21,15.16,14.79,16.21,1023,91,1.97,99,5,2021,10,4,22,0
0.5,0.0,0.0,0,15.19,15.17,14.45,15.72,1022,92,2.66,100,5,2021,10,4,23,0
0.546,0.0,0.0,0,15.15,15.12,14.45,15.72,1022,92,3.17,100,5,2021,10,5,0,1
0.492,0.0,0.0,0,14.64,14.59,14.45,15.72,1021,93,3.35,100,3,2021,10,5,1,1
0.32,0.0,0.0,0,15.15,15.15,14.45,15.72,1021,93,3.29,100,3,2021,10,5,2,1
0.319,0.0,0.0,0,15.18,15.18,15.01,15.72,1020,93,2.93,100,3,2021,10,5,3,1
0.317,0.0,0.0,0,15.18,15.18,15.1,15.72,1020,93,2.4,100,3,2021,10,5,4,1
0.316,0.0,0.0,0,15.7,15.75,15.57,15.72,1020,93,1.87,100,3,2021,10,5,5,1
0.31,0.0,0.0,0,15.71,15.76,15.66,16.22,1020,93,1.53,100,5,2021,10,5,6,1
0.312,0.0,0.001,0,16.27,16.38,15.66,16.78,1021,93,1.43,100,5,2021,10,5,7,1
0.255,0.0,0.067,0,16.85,17.02,16.21,17.72,1022,93,1.81,100,5,2021,10,5,8,1
0.151,0.0,0.188,1,17.37,17.59,16.77,18.12,1022,93,2.59,100,5,2021,10,5,9,1
0.271,0.0,0.216,0,17.91,18.18,17.23,18.68,1023,93,3.38,100,5,2021,10,5,10,1
0.188,0.0,0.281,1,18.48,18.81,17.89,19.23,1023,93,3.09,97,5,2021,10,5,11,1
0.007,0.0,0.467,3,18.58,18.92,18.34,20.34,1023,93,3.17,97,5,2021,10,5,12,1
0.228,0.0,0.588,3,20.18,20.58,18.44,21.21,1023,89,3.5,100,5,2021,10,5,13,1
0.2,0.0,0.406,2,20.71,20.98,20.67,21.21,1023,82,3.64,98,5,2021,10,5,14,1
0.065,0.0,0.424,3,21.72,21.93,19.72,21.82,1023,76,3.36,97,5,2021,10,5,15,1
0.458,0.0,0.181,1,20.66,20.87,19.72,21.21,1023,80,2.89,83,0,2021,10,5,16,1
0.339,0.0,0.202,0,20.6,20.83,18.72,20.7,1023,81,2.52,43,6,2021,10,5,17,1
0.444,0.0,0.041,0,19.74,19.88,17.72,20.15,1023,81,1.78,19,1,2021,10,5,18,1
0.547,0.0,0.0,0,18.89,19.03,16.72,19.04,1024,84,1.76,21,1,2021,10,5,19,1
0.969,0.0,0.0,0,17.79,17.95,15.72,17.93,1024,89,1.51,13,1,2021,10,5,20,1
1.157,0.0,0.0,0,16.8,16.89,15.57,16.82,1024,90,1.42,5,7,2021,10,5,21,1
0.966,0.0,0.0,0,16.69,16.76,14.72,16.82,1025,90,1.16,22,1,2021,10,5,22,1
0.918,0.0,0.0,0,15.65,15.67,14.72,15.7,1025,92,1.19,38,6,2021,10,5,23,1
0.935,0.0,0.0,0,15.59,15.61,13.72,15.7,1025,92,1.36,87,5,2021,10,6,0,2
0.698,0.0,0.0,0,15.67,15.72,14.23,15.7,1025,93,1.49,84,0,2021,10,6,1,2
0.541,0.0,0.0,0,15.13,15.13,14.23,15.67,1024,93,1.38,86,5,2021,10,6,2,2
0.41,0.0,0.0,0,14.99,14.97,12.72,15.15,1024,93,1.78,79,0,2021,10,6,3,2
0.401,0.0,0.0,0,15.01,14.99,12.79,15.15,1024,93,1.69,35,6,2021,10,6,4,2
0.409,0.0,0.0,0,15.47,15.37,12.72,15.7,1024,88,1.74,30,6,2021,10,6,5,2
0.401,0.0,0.0,0,15.47,15.29,12.57,15.7,1024,85,2.0,30,6,2021,10,6,6,2
0.402,0.0,0.001,0,15.47,15.27,12.01,15.7,1024,84,1.96,11,1,2021,10,6,7,2
0.401,0.0,0.252,1,17.67,17.5,13.99,17.93,1024,77,2.25,2,7,2021,10,6,8,2
0.001,0.0,0.401,2,19.54,19.4,17.72,19.59,1025,71,1.72,0,7,2021,10,6,9,2
0.0,0.0,0.33,3,21.21,21.08,18.9,21.26,1025,65,0.97,0,7,2021,10,6,10,2
0.0,0.0,0.312,4,22.31,22.35,21.12,22.37,1024,67,1.05,0,7,2021,10,6,11,2
0.0,0.0,0.318,4,23.47,23.49,22.89,23.48,1024,62,0.87,0,7,2021,10,6,12,2
0.005,0.0,0.323,4,24.59,24.65,24.23,24.59,1023,59,0.53,0,7,2021,10,6,13,2
0.01,0.0,0.424,3,25.12,25.18,24.0,25.57,1023,57,0.28,0,7,2021,10,6,14,2
0.0,0.0,0.407,3,26.03,26.03,22.72,26.68,1022,56,0.99,0,7,2021,10,6,15,2
0.0,0.0,0.42,2,26.53,26.53,22.72,26.82,1022,55,1.37,0,7,2021,10,6,16,2
0.344,0.0,0.256,0,24.95,25.09,21.72,25.15,1022,61,1.31,0,7,2021,10,6,17,2
1.276,0.0,0.018,0,23.44,23.59,21.78,23.48,1022,67,1.58,0,7,2021,10,6,18,2
0.697,0.0,0.0,0,22.32,22.51,20.57,22.37,1022,73,1.83,0,7,2021,10,6,19,2
0.47,0.0,0.0,0,21.22,21.25,19.23,21.26,1022,71,2.01,0,7,2021,10,6,20,2
0.516,0.0,0.0,0,17.67,17.74,15.72,20.11,1022,86,2.2,0,7,2021,10,6,21,2
0.395,0.0,0.0,0,20.41,20.26,15.72,20.7,1022,67,2.09,0,7,2021,10,6,22,2
0.486,0.0,0.0,0,19.95,19.78,16.45,20.67,1022,68,1.82,0,7,2021,10,6,23,2
0.601,0.0,0.0,0,19.41,19.21,15.34,20.11,1022,69,1.8,0,7,2021,10,7,0,3
0.369,0.0,0.0,0,16.98,16.98,14.79,19.0,1022,86,1.93,0,7,2021,10,7,1,3
0.311,0.0,0.0,0,17.99,18.06,14.23,19.0,1022,85,2.09,0,7,2021,10,7,2,3
0.309,0.0,0.0,0,18.3,18.43,17.32,19.0,1022,86,2.23,0,7,2021,10,7,3,3
0.311,0.0,0.0,0,17.6,17.66,17.32,18.34,1021,86,2.3,7,7,2021,10,7,4,3
0.309,0.0,0.0,0,15.62,15.51,14.72,18.9,1021,87,2.33,1,7,2021,10,7,5,3
0.409,0.0,0.0,0,16.26,16.19,15.72,18.34,1021,86,2.3,0,7,2021,10,7,6,3
0.412,0.0,0.001,0,15.58,15.44,14.72,17.79,1021,86,2.34,0,7,2021,10,7,7,3
0.241,0.0,0.244,1,18.64,18.67,18.43,19.0,1022,81,2.77,0,7,2021,10,7,8,3
0.026,0.0,0.327,3,21.53,21.07,20.11,22.32,1022,51,2.18,0,7,2021,10,7,9,3
0.0,0.0,0.331,3,23.48,23.16,21.68,23.72,1022,49,1.83,0,7,2021,10,7,10,3
0.0,0.0,0.325,4,24.86,24.63,23.34,25.15,1022,47,1.76,0,7,2021,10,7,11,3
0.0,0.0,0.325,4,26.24,26.24,25.01,26.26,1021,35,1.02,0,7,2021,10,7,12,3
0.236,0.0,0.499,3,27.36,27.03,25.9,27.72,1021,38,0.78,0,7,2021,10,7,13,3
0.507,0.0,0.64,3,27.22,26.87,24.72,27.79,1020,37,1.25,0,7,2021,10,7,14,3
0.0,0.0,0.385,3,27.89,27.44,26.77,27.93,1020,38,2.02,0,7,2021,10,7,15,3
0.0,0.0,0.33,2,27.14,27.13,23.72,27.37,1020,43,2.49,0,7,2021,10,7,16,3
0.092,0.0,0.238,1,25.64,25.64,23.44,25.7,1019,53,2.15,1,7,2021,10,7,17,3
0.437,0.0,0.017,0,23.99,24.14,21.78,24.04,1020,65,2.01,3,7,2021,10,7,18,3
0.684,0.0,0.0,0,22.32,22.44,20.11,22.37,1020,70,2.03,0,7,2021,10,7,19,3
0.75,0.0,0.0,0,21.22,21.3,18.9,21.26,1020,73,1.98,0,7,2021,10,7,20,3
0.682,0.0,0.0,0,20.66,20.77,18.12,20.7,1020,76,1.92,0,7,2021,10,7,21,3
0.573,0.0,0.0,0,20.1,20.18,17.01,20.15,1020,77,1.98,3,7,2021,10,7,22,3
0.577,0.0,0.0,0,19.57,19.62,14.72,20.15,1020,78,1.78,0,7,2021,10,7,23,3
0.426,0.0,0.0,0,19.28,19.3,14.72,19.59,1020,78,1.66,0,7,2021,10,8,0,4
0.376,0.0,0.0,0,19.92,19.74,12.72,20.15,1020,68,1.67,19,1,2021,10,8,1,4
0.379,0.0,0.0,0,15.89,15.91,15.01,16.22,1019,91,1.71,6,7,2021,10,8,2,4
0.353,0.0,0.0,0,19.36,19.21,12.72,19.59,1019,71,1.71,3,7,2021,10,8,3,4
0.334,0.0,0.0,0,13.69,13.57,12.72,15.66,1019,94,1.76,0,7,2021,10,8,4,4
0.333,0.0,0.0,0,13.35,13.2,12.72,15.1,1019,94,1.74,0,7,2021,10,8,5,4
0.319,0.0,0.0,0,13.94,13.84,13.72,14.55,1019,94,1.85,0,7,2021,10,8,6,4
0.344,0.0,0.0,0,13.2,13.06,12.72,14.55,1019,95,1.74,0,7,2021,10,8,7,4
0.356,0.0,0.214,1,15.39,15.31,14.72,17.23,1019,89,2.12,0,7,2021,10,8,8,4
0.0,0.0,0.323,3,23.04,22.99,18.72,23.48,1020,61,1.39,0,7,2021,10,8,9,4
0.0,0.0,0.32,3,23.16,23.18,21.68,23.48,1020,63,0.57,0,7,2021,10,8,10,4
0.0,0.0,0.325,4,24.55,24.63,22.72,25.66,1020,60,0.24,0,7,2021,10,8,11,4
0.0,0.0,0.33,4,25.62,25.65,22.72,25.7,1020,54,0.37,0,7,2021,10,8,12,4
0.008,0.0,0.38,4,26.62,26.62,22.72,26.82,1019,48,1.15,0,7,2021,10,8,13,4
0.0,0.0,0.381,3,27.33,27.67,25.67,27.37,1019,49,1.91,0,7,2021,10,8,14,4
0.0,0.0,0.364,3,27.28,27.49,24.55,27.37,1019,47,2.4,0,7,2021,10,8,15,4
0.003,0.0,0.376,2,26.18,26.18,22.89,26.26,1018,53,2.53,0,7,2021,10,8,16,4
0.208,0.0,0.231,0,25.08,25.13,22.33,25.15,1019,57,2.19,0,7,2021,10,8,17,4
0.458,0.0,0.017,0,22.74,22.98,15.72,23.48,1019,73,2.27,11,1,2021,10,8,18,4
0.949,0.0,0.0,0,20.94,21.1,15.72,21.45,1019,77,2.25,68,0,2021,10,8,19,4
0.882,0.0,0.0,0,18.8,18.93,15.67,19.79,1020,84,2.0,95,5,2021,10,8,20,4
0.589,0.0,0.0,0,18.28,18.38,15.67,18.68,1020,85,1.77,98,5,2021,10,8,21,4
0.527,0.0,0.0,0,17.77,17.93,15.67,18.12,1020,89,1.32,100,5,2021,10,8,22,4
0.445,0.0,0.0,0,17.23,17.33,15.01,17.37,1020,89,1.47,98,5,2021,10,8,23,4
0.375,0.0,0.0,0,16.69,16.82,14.72,16.82,1019,92,1.25,96,5,2021,10,9,0,5
0.384,0.0,0.0,0,16.63,16.72,13.72,16.82,1019,91,0.98,95,5,2021,10,9,1,5
0.463,0.0,0.0,0,17.36,17.55,13.72,17.37,1019,92,1.01,94,5,2021,10,9,2,5
0.413,0.0,0.0,0,16.74,16.85,12.72,16.82,1019,91,1.14,94,5,2021,10,9,3,5
0.34,0.0,0.0,0,17.37,17.51,13.72,17.37,1019,90,1.19,95,5,2021,10,9,4,5
0.323,0.0,0.0,0,17.09,17.18,13.72,17.37,1019,89,1.11,94,5,2021,10,9,5,5
0.314,0.0,0.0,0,17.37,17.49,13.72,17.37,1019,89,1.09,95,5,2021,10,9,6,5
0.374,0.0,0.0,0,16.82,16.93,14.72,16.82,1019,91,1.01,83,0,2021,10,9,7,5
0.232,0.0,0.09,0,18.76,18.96,14.72,19.04,1020,87,0.93,73,0,2021,10,9,8,5
0.242,0.0,0.304,2,20.15,20.39,15.72,20.15,1020,83,0.45,91,5,2021,10,9,9,5
0.0,0.0,0.455,3,20.98,21.27,16.72,21.26,1020,82,0.33,91,5,2021,10,9,10,5
0.222,0.0,0.562,3,22.29,22.53,18.72,22.37,1020,75,0.64,88,5,2021,10,9,11,5
0.0,0.0,0.341,4,23.69,23.94,17.72,25.9,1020,70,0.79,88,5,2021,10,9,12,5
0.0,0.0,0.337,4,24.7,24.98,16.72,25.9,1019,67,0.84,93,5,2021,10,9,13,5
0.0,0.0,0.334,3,19.34,19.13,16.72,26.45,1019,69,1.02,89,5,2021,10,9,14,5
